Time [s], Analyzer Name, Decoded Protocol Result
5.146094500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.146238166666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.146581416666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.146669250000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.146749083333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.146836833333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.146924666666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.147012500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.147100250000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.147188083333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.147275916666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.147355666666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.147443500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.161637416666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.162036500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.162124333333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.162212166666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.162300000000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.162379750000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.162467583333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.162555416666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.162643166666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.162731000000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.162818833333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.162898583333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.162986416666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.163074250000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.163162000000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.163249833333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.177595083333333,SPI,MOSI: '0' (0x00);  MISO: s (0x73)
5.177986250000000,SPI,MOSI: '0' (0x00);  MISO: e (0x65)
5.178074000000000,SPI,MOSI: '0' (0x00);  MISO: c (0x63)
5.178153833333333,SPI,MOSI: '0' (0x00);  MISO: o (0x6F)
5.178241666666667,SPI,MOSI: '0' (0x00);  MISO: n (0x6E)
5.178329500000000,SPI,MOSI: '0' (0x00);  MISO: d (0x64)
5.178417250000000,SPI,MOSI: '0' (0x00);  MISO: ' ' (0x20)
5.178505083333333,SPI,MOSI: '0' (0x00);  MISO: p (0x70)
5.178592833333333,SPI,MOSI: '0' (0x00);  MISO: a (0x61)
5.178680666666667,SPI,MOSI: '0' (0x00);  MISO: g (0x67)
5.178760500000000,SPI,MOSI: '0' (0x00);  MISO: e (0x65)
5.178848333333334,SPI,MOSI: '0' (0x00);  MISO: ? (0x3F)
